1: a=NULL
2: b=STARTBLOWJOB
3: c=SUCKBLOWJOB
4: d=SUCKBLOWJOB_BLINK
5: e=CUMBLOWJOB
6: f=THRUSTBLOWJOB
7: g=PAYMENT
8: h=STARTDOGGY
9: i=WAITDOGGY
10: j=DOGGYSTART
11: k=DOGGYSLOW
12: l=DOGGYFAST
13: m=DOGGYCUM
14: n=STRIP
15: o=DASH
16: p=HUG
17: q=HUGIDLE
18: r=HUGSELECTED
19: s=UNDRESS
20: t=DRESS
21: u=SITDOWN
22: v=SITDOWNIDLE
23: w=COWGIRLSTART
24: x=COWGIRLSLOW
25: y=COWGIRLFAST
26: z=COWGIRLCUM
27: A=ATTACK
28: B=BOW
29: C=RIDE
30: D=SIT
31: E=THROW_PEARL
32: F=DOWNED
33: G=PAIZURI_START
34: H=PAIZURI_IDLE
35: I=PAIZURI_SLOW
36: J=PAIZURI_FAST
37: K=PAIZURI_FAST_CONTINUES
38: L=PAIZURI_CUM
39: M=MISSIONARY_START
40: N=MISSIONARY_SLOW
41: O=MISSIONARY_FAST
42: P=MISSIONARY_CUM
43: Q=TALK_HORNY
44: R=TALK_IDLE
45: S=TALK_RESPONSE
46: T=ANAL_PREPARE
47: U=ANAL_WAIT
48: V=ANAL_START
49: W=ANAL_SLOW
50: X=ANAL_FAST
51: Y=ANAL_CUM
52: Z=KOBOLD_ANAL_START
53: aa=KOBOLD_ANAL_SLOW
54: ab=KOBOLD_ANAL_FAST
55: ac=KOBOLD_ANAL_CUM
56: ad=SUMMON
57: ae=SUMMON_WAIT
58: af=HEAD_PAT
59: ag=ALLIE_PREPARE_FIRST_TIME
60: ah=DEEPTHROAT_START
61: ai=DEEPTHROAT_SLOW
62: aj=DEEPTHROAT_FAST
63: ak=DEEPTHROAT_CUM
64: al=ALLIE_PREPARE_NORMAL
65: am=SUMMON_NORMAL
66: an=SUMMON_SAND
67: ao=SUMMON_NORMAL_WAIT
68: ap=RICH_FIRST_TIME
69: aq=RICH_NORMAL
70: ar=CITIZEN_START
71: as=CITIZEN_SLOW
72: at=CITIZEN_FAST
73: au=CITIZEN_CUM
74: av=FISHING_START
75: aw=FISHING_IDLE
76: ax=FISHING_EAT
77: ay=FISHING_THROW_AWAY
78: az=TOUCH_BOOBS_INTRO
79: aA=TOUCH_BOOBS_SLOW
80: aB=TOUCH_BOOBS_FAST
81: aC=TOUCH_BOOBS_CUM
82: aD=WAIT_CAT
83: aE=COWGIRL_SITTING_INTRO
84: aF=COWGIRL_SITTING_SLOW
85: aG=COWGIRL_SITTING_FAST
86: aH=COWGIRL_SITTING_CUM
87: aI=MINE
88: aJ=SLEEP
89: aK=MATING_PRESS_START
90: aL=MATING_PRESS_SOFT
91: aM=MATING_PRESS_HARD
92: aN=MATING_PRESS_CUM
93: aO=SHOULDER_IDLE
94: aP=PICK_UP
95: aQ=RUN
96: aR=CATCH
97: aS=CATCH_BJ
98: aT=CATCH_BJ_IDLE
99: aU=START_THROWING
100: aV=THROWN
101: aW=JUMP_0
102: aX=JUMP_1
103: aY=JUMP_2
104: aZ=BREEDING_INTRO_0
105: ba=BREEDING_INTRO_1
106: bb=BREEDING_INTRO_2
107: bc=BREEDING_SLOW_0
108: bd=BREEDING_1
109: be=BREEDING_SLOW_2
110: bf=BREEDING_FAST_0
111: bg=BREEDING_FAST_2
112: bh=BREEDING_CUM_0
113: bi=BREEDING_CUM_1
114: bj=BREEDING_CUM_2
115: bk=AWAIT_PICK_UP
116: bl=VANISH
117: bm=STAND_UP
118: bn=NELSON_INTRO
119: bo=NELSON_SLOW
120: bp=NELSON_FAST
121: bq=NELSON_CUM
122: br=CARRY_SLOW
123: bs=CARRY_FAST
124: bt=CARRY_CUM
125: bu=CARRY_INTRO
126: bv=PRONE_DOGGY_INTRO
127: bw=PRONE_DOGGY_SOFT
128: bx=PRONE_DOGGY_HARD
129: by=PRONE_DOGGY_INSERT
130: bz=PRONE_DOGGY_CUM
131: bA=REVERSE_COWGIRL_SLOW
132: bB=REVERSE_COWGIRL_FAST_START
133: bC=REVERSE_COWGIRL_FAST_CONTINUES
134: bD=REVERSE_COWGIRL_CUM
135: bE=REVERSE_COWGIRL_START
136: bF=WAVE_IDLE
137: bG=WAVE
138: bH=FLY
139: bI=SUMMON_SKELETON
140: bJ=ATTACK_SWORD
141: bK=KNOCK_OUT_FLY
142: bL=KNOCK_OUT_GROUND
143: bM=KNOCK_OUT_STAND_UP
144: bN=RAPE_PREPARE
145: bO=RAPE_CHARGE
146: bP=RAPE_ON_GOING
147: bQ=RAPE_INTRO
148: bR=RAPE_CUM_IDLE
149: bS=RAPE_CUM
150: bT=CORRUPT_SLOW
151: bU=CORRUPT_FAST
152: bV=CORRUPT_CUM
153: bW=CORRUPT_INTRO
154: bX=CONTROLLED_FLIGHT
155: bY=BOOST
156: bZ=GALATH_SUMMON
157: ca=GALATH_DE_SUMMON
158: cb=GIVE_COIN
159: cc=MASTERBATE
160: cd=HUG_MANG
161: ce=RIDE_MOMMY_HEAD
162: cf=THREESOME_SLOW
163: cg=THREESOME_FAST
164: ch=THREESOME_CUM
165: ci=PUSSY_LICKING
166: cj=MASTERBATE_SITTING
167: ck=MASTERBATE_SITTING_CUM
168: cl=MORNING_BLOWJOB_SLOW
169: cm=MORNING_BLOWJOB_FAST
170: cn=MORNING_BLOWJOB_CUM
